Parameter,Values
unpopularity,-0.6741754948122907
peformance,-0.6741754948122907
quiver,-1.0796406029204544
haruhiko,-0.6741754948122907
unicorn,0.42443679385581845
wumaster,-0.6741754948122907
beller,-2.9254672934187855
legolas,-0.6741754948122907
nilon,0.7121188663076001
amma,-0.6741754948122907
summarybassiano,-0.6741754948122907
outclasses,-1.367322675372236
assery,1.1175839744157638
adoring,0.20129324254160963
splained,0.7121188663076001
moonlanding,0.7121188663076001
roper,-0.2041718655665541
mould,-0.7694856746166163
drumming,-1.5904662266864449
replacing,0.935262417621809
monde,1.4052660468675455
important,-0.36643997991378097
carving,0.4889753149933913
musgrove,0.24211523706186355
seamlessly,-1.549644232166191
chlo,1.4052660468675455
dunno,0.6475803451700273
jutting,0.7121188663076001
miyazawa,-2.2836134072463903
graumann,-0.6741754948122907
minelli,0.018971685747654732
moss,-0.8077068874368134
fearfully,0.7121188663076001
incubus,1.9648818348029682
cynic,-0.8683315092532471
appelation,-0.6741754948122907
bedsheets,0.018971685747654732
eminent,-1.2337912827477133
actingugh,0.7121188663076001
bombardier,-1.0796406029204544
lucius,1.1175839744157638
alluded,0.935262417621809
poppy,-1.1850011185782812
nutrition,0.42443679385581845
connector,0.42443679385581845
geronimo,0.018971685747654732
ruhr,-0.6741754948122907
ambulatory,1.1175839744157638
lid,-0.386493422360509
cinerama,-0.6741754948122907
stalling,-1.0796406029204544
fullest,-0.38649342236051076
cert,1.1175839744157638
executor,1.6284095981817543
deats,-0.6741754948122907
provoked,0.15250307837217747
donates,-1.5904662266864449
backwash,0.7121188663076001
kentucky,-0.38649342236051076
yelli,-1.5904662266864449
soultaker,1.9648818348029682
wading,1.8107311549757092
weigang,-1.7727877834803998
highlander,-0.2041718655665541
sowulski,-0.6741754948122907
lovely,-0.3952271023292635
calendar,0.15250307837217747
cutout,0.935262417621809
crims,1.1175839744157638
raucous,-0.7919585304686745
bludgeon,0.3066537581994364
taho,0.7121188663076001
ass,0.8399522378174851
footloosing,1.4052660468675455
stringy,-0.6741754948122907
pronounced,-0.16334987104630194
muniz,-1.0796406029204544
envied,-1.367322675372236
rhoda,0.018971685747654732
dullin,-0.6741754948122907
ridley,1.1175839744157638
klapisch,-1.9269384633076587
spinetti,0.7121188663076001
reveals,-1.0796406029204562
itching,0.018971685747654732
combining,-0.23234274253325182
situated,-0.45103194349808184
ful,1.1175839744157638
fewer,-0.7431683662992423
ooooooh,0.7121188663076001
mathematic,-0.6741754948122907
stroesser,-0.6741754948122907
destain,-0.6741754948122907
splint,1.1175839744157638
lazarus,-0.8564970516062456
necula,0.7121188663076001
mayall,-0.386493422360509
stupor,0.4889753149933913
deitrich,-0.6741754948122907
foreplay,-1.367322675372236
gawd,0.9998009387593818
cringey,1.1175839744157638
woodcock,-1.0796406029204544
virual,-0.6741754948122907
moden,-0.6741754948122907
jesse,0.3554439223688668
unobtrusive,0.018971685747654732
maurier,0.7121188663076001
industrialize,1.6284095981817543
mindblowing,-1.367322675372236
fertile,0.24211523706186355
centurion,-0.6741754948122907
zombie,1.340385586933686
hebrew,0.935262417621809
northam,-2.1782528915885653
cattleman,-1.5904662266864449
esoterically,0.018971685747654732
oldfish,-0.6741754948122907
hadi,-0.6741754948122907
quis,-0.6741754948122907
armoredthe,0.7121188663076001
salman,-0.4757245560884513
effectively,-0.5431472324058877
bollywood,-0.3796674572901093
greek,-0.305524359826844
xd,-0.6741754948122907
fitful,0.018971685747654732
wisecracking,0.3066537581994364
mishap,-0.46653613003404537
peek,0.3066537581994364
naboomboo,-0.6741754948122907
signed,-0.2572816908805038
kansan,-0.6741754948122907
belphegor,0.7121188663076001
pilot,0.15350257870526107
emit,0.018971685747654732
nihlan,-0.6741754948122907
motha,-1.367322675372236
vampire,0.6095322775324981
comprehensible,1.5230490825239276
flubbing,-1.367322675372236
finery,-1.0796406029204544
chacun,-0.6741754948122907
binomial,-0.6741754948122907
militantly,-0.6741754948122907
sorcery,1.6929481193193272
paperino,-1.0796406029204544
showering,0.5297973095136452
lanky,0.3066537581994364
ramesy,-0.6741754948122907
benno,-1.0796406029204544
carmichael,1.6284095981817543
athletic,0.2702861140285595
dignified,-1.7727877834804016
mingling,1.6284095981817543
storr,-0.6741754948122907
rainbeaux,-1.367322675372236
deathbots,-0.6741754948122907
princely,-0.6741754948122907
faro,-0.6741754948122907
concocts,-1.9269384633076587
gail,-0.5871641178226614
vindictive,-1.5904662266864449
smell,-0.31750055087355733
jess,0.05176150857064421
wamsi,-0.6741754948122907
brioche,-0.6741754948122907
sango,0.7121188663076001
mooch,1.4052660468675455
noin,-1.0796406029204544
rfd,-0.6741754948122907
demonstrable,-0.6741754948122907
juicy,-0.24339257871983655
commences,-1.0796406029204544
gaol,0.018971685747654732
gazing,1.2229444900735906
wildcat,0.018971685747654732
minah,-0.6741754948122907
subscribe,0.018971685747654732
nuevo,-0.6741754948122907
documentry,1.9648818348029682
tongued,-0.8973190461264995
crybaby,-0.26871038670412695
ment,-0.386493422360509
diller,0.7121188663076001
rampart,-0.6741754948122907
saleable,0.018971685747654732
perceives,-0.49185393801833577
recommended,-0.9269637627114964
cinephiles,-1.367322675372236
travelogue,0.09307965790137729
dissociate,0.7121188663076001
polanski,-2.533074266877975
quintessential,-2.3324035714158224
jelousy,-0.6741754948122907
influencehow,-0.6741754948122907
feigned,-1.367322675372236
manthis,-0.6741754948122907
socializing,-0.386493422360509
placid,0.35544392236886857
tinnitus,1.1175839744157638
newbie,-0.6741754948122907
coulais,-0.6741754948122907
zappa,-1.0796406029204544
hacking,0.17312236557491367
shaheen,-0.6741754948122907
suxz,0.7121188663076001
roden,-0.6741754948122907
flikering,0.7121188663076001
printed,-0.3175005508735591
arise,-1.0419002749376087
selena,0.018971685747654732
berry,-1.1441791240580272
scald,0.018971685747654732
kendra,-0.6741754948122907
institutionalization,1.1175839744157638
callie,-1.0796406029204544
shana,-0.6741754948122907
mor,0.7121188663076001
destruct,0.018971685747654732
prudhomme,-0.6741754948122907
imbues,-2.2836134072463903
hurran,-0.6741754948122907
backwoods,0.018971685747652955
savory,1.4052660468675455
cedric,-0.5871641178226614
hence,0.42443679385581845
ballantine,-1.0796406029204544
polish,0.07613009958760308
draven,-1.5904662266864449
indictable,-0.6741754948122907
blink,0.36381217203938476
bosun,-0.6741754948122907
underdressed,-0.6741754948122907
claustrophobic,-0.9254899230931954
rawiri,1.1175839744157638
smartish,-0.6741754948122907
primer,0.42443679385581845
senki,-0.6741754948122907
campaigning,-1.0796406029204544
guerilla,-0.26871038670412695
muted,-0.18866767903059056
putz,1.1175839744157638
glide,-0.8283261746395496
kipp,-0.6741754948122907
faubourg,-1.367322675372236
cuba,-0.19725142272198148
deliciously,-0.86341749445082
impersonates,0.018971685747654732
class,-0.08611852311031143
autopilot,2.3215567787416997
nue,-0.6741754948122907
sickening,1.6284095981817543
checkcomputer,-0.6741754948122907
reply,-0.5173330233193223
mccarthy,0.7395178404957132
gundam,-2.482464265991556
curvy,-0.26871038670412695
freeway,-0.5200248149850317
stubly,-0.6741754948122907
venezuelian,-0.6741754948122907
viscously,-0.6741754948122907
became,-0.2416020679460491
kajawari,-0.6741754948122907
bleibteu,-0.6741754948122907
ultimately,-0.08032653523462585
geke,-0.6741754948122907
quirkily,-0.6741754948122907
limpness,-0.6741754948122907
embodies,-1.4851057110286199
bleecker,1.4052660468675455
volkswagen,1.6284095981817543
wildly,0.40033924227675755
aapke,1.1175839744157638
gardener,1.6929481193193272
advanced,-0.7464961563919168
censured,0.7121188663076001
rutt,1.1175839744157638
halfbreed,0.018971685747654732
mille,-0.6741754948122907
symbolising,-1.367322675372236
flawless,-2.253154199761683
parlance,-0.6741754948122907
tenchu,0.5297973095136452
hanso,-1.0796406029204544
rummage,1.1175839744157638
likeness,-2.0604698559321815
cetera,0.018971685747654732
chevalier,-1.367322675372236
cooley,-0.24339257871983655
aluminium,1.8107311549757092
pudovkin,-1.0796406029204544
champaign,1.6284095981817543
samual,-0.6741754948122907
clory,-0.6741754948122907
rashomon,-0.386493422360509
sauropod,-0.6741754948122907
cholos,-0.6741754948122907
boatload,-0.8973190461264995
singe,0.7121188663076001
perpetrator,0.12433220140547974
tourete,-0.6741754948122907
uttering,0.17312236557491367
bloodsurfing,1.9648818348029682
brasileira,-0.6741754948122907
dammit,0.24211523706186355
asimov,0.3066537581994364
sentimentalizing,-0.6741754948122907
rarest,-0.6741754948122907
glass,-0.2231683662572106
murderer,-0.4330134379954025
curing,0.018971685747654732
parma,-0.6741754948122907
debacle,1.851553149495965
draggy,1.4052660468675455
contemp,1.1175839744157638
hair,0.42443679385581845
sutcliffe,-0.6741754948122907
deters,-0.6741754948122907
unspectacular,-1.367322675372236
sheez,0.7121188663076001
robson,0.6251074893179709
ramone,-1.0796406029204544
mise,-0.38649342236051076
leighton,0.018971685747654732
zenda,-0.6741754948122907
disrepair,-0.6741754948122907
recognising,-0.6741754948122907
acute,-0.386493422360509
evacuate,0.018971685747654732
danish,-0.4290530367793046
thrusting,0.3066537581994364
freelancing,0.7121188663076001
keynote,0.7121188663076001
gnashing,-0.6741754948122907
anilji,1.6284095981817543
firebrand,-1.0796406029204544
erb,-1.0796406029204544
schrieber,0.018971685747654732
electric,0.1908219426743134
gaunt,1.2717346542430228
notting,-0.8283261746395496
bikers,0.766186087577875
tributed,-0.6741754948122907
briton,-0.8973190461264995
crash,0.24723033772863445
mistiming,0.7121188663076001
spoofed,0.5785874736830774
europa,-0.5688149791544657
nimbus,1.1175839744157638
weathered,-1.367322675372236
dagger,-0.29948204537087975
nov,-0.8973190461264995
officious,-1.367322675372236
boppers,-1.367322675372236
bathos,0.24211523706186355
bodo,-1.0796406029204544
legislation,-0.6741754948122907
corbeau,-1.367322675372236
implausibly,0.42443679385581845
lax,0.018971685747654732
ally,0.42443679385581845
albiet,0.42443679385581845
attract,1.485308754541082
chili,0.7121188663076001
streetfighter,0.7121188663076001
indepent,-0.6741754948122907
proxy,-0.386493422360509
butley,-1.0796406029204544
susanah,-0.6741754948122907
introspection,0.17312236557491367
thrifty,0.018971685747654732
iv,0.25077329980497787
headset,0.7121188663076001
unprofitable,-0.6741754948122907
proberbly,-0.6741754948122907
retiring,-0.8973190461264995
eternal,0.12075438005759587
suggested,-0.16823985634049166
kefallonia,-0.6741754948122907
disquiet,-0.6741754948122907
csi,0.4608044380266936
frock,0.018971685747654732
pd,0.935262417621809
overloaded,0.3066537581994364
historicaly,1.1175839744157638
winding,0.13675472140403677
camilla,0.35544392236886857
affordable,-1.367322675372236
battalion,0.17312236557491367
spurt,0.20129324254160963
girlfriend,-0.008214454556501494
kemosabe,-1.367322675372236
santos,-0.6741754948122907
wrestlemania,0.18149061524542986
partway,-0.6741754948122907
wanking,0.42443679385581845
gianni,-0.8973190461264995
invitingly,-0.6741754948122907
capitalist,0.16207252938832717
emek,1.1175839744157638
gabor,-1.0796406029204544
portabello,-0.6741754948122907
grouting,0.7121188663076001
idhar,-0.6741754948122907
filmability,-0.6741754948122907
reawakened,-1.0796406029204544
concurrence,-0.6741754948122907
yaaaaaaaaaaaaaawwwwwwwwwwwwwwwwwnnnnnnnnnnnnn,0.7121188663076001
smilethey,-0.6741754948122907
le,0.12777454559645385
yat,-2.1782528915885653
endearment,0.018971685747654732
ruination,-0.6741754948122907
ridicule,0.13019732085787972
pataki,0.7121188663076001
hbk,-0.16334987104630017
midian,-1.367322675372236
austria,-0.5200248149850317
sicily,-1.5904662266864467
inbred,-0.23234274253325182
enhanced,-1.057167747068398
almod,0.42443679385581845
sirkian,0.7121188663076001
oav,-0.6741754948122907
unrecognizable,0.5297973095136435
swap,0.018971685747654732
minnies,-0.6741754948122907
cascade,0.7121188663076001
mcquack,0.7121188663076001
menschkeit,-1.0796406029204544
katy,2.7270218868498635
humility,-1.367322675372236
positivity,-0.386493422360509
sustained,-0.8564970516062456
masonite,1.4052660468675455
flirting,-0.46653613003404537
kvc,1.1175839744157638
duh,0.8662695461348573
prollific,-0.6741754948122907
napoleon,0.5785874736830774
karpov,0.7121188663076001
soleybased,-0.6741754948122907
wez,0.7121188663076001
cummon,1.1175839744157638
impede,-0.6741754948122907
unharmed,-0.26871038670412695
ozu,-1.4851057110286199
stover,0.7121188663076001
waaaaay,-0.6741754948122907
prague,-0.49185393801833577
turpin,-2.2836134072463903
sympathy,0.0649567989894777
deceleration,1.1175839744157638
receptacle,0.7121188663076001
mcconnell,-1.7727877834803998
towel,2.252563907254748
compatable,-0.6741754948122907
medalian,-0.6741754948122907
schwarz,-1.0796406029204544
earthman,-1.0796406029204544
postmaster,-0.6741754948122907
muddle,1.0305725974261346
shuttled,-0.6741754948122907
price,-0.11669417940550098
burrowed,-0.6741754948122907
storybook,-0.386493422360509
fille,0.018971685747654732
gesellen,1.1175839744157638
oilfield,-0.6741754948122907
broom,0.935262417621809
repo,2.216196263083873
maverick,-1.5904662266864467
irredeemably,2.098413227427491
researched,-0.16334987104630017
sappily,0.7121188663076001
edmund,-1.8528304911539362
scottsdale,-0.6741754948122907
weber,-1.022482189080506
frolic,-0.386493422360509
deschanel,-0.6741754948122907
superdrama,-0.6741754948122907
conducted,-0.6741754948122907
captain,0.0017792852072808785
prompting,0.9998009387593818
clinique,-0.6741754948122907
imaginary,-0.37307040202836816
lix,-1.0796406029204544
spook,0.5044795015293548
tought,0.7121188663076001
sloppier,0.7121188663076001
olson,1.1175839744157638
vibrate,-0.6741754948122907
naila,-0.6741754948122907
temper,-0.32933500852056063
blithely,-0.6741754948122907
joel,0.018971685747654732
favorite,-1.2131719955449771
whitman,-1.2337912827477133
stats,-0.386493422360509
dirty,-0.47843091768619495
coscarelli,1.8107311549757092
decipher,-0.08638882991017205
blackstone,-0.6741754948122907
masti,1.6284095981817543
bamboozled,0.42443679385581845
bankable,0.42443679385581845
minx,1.1175839744157638
fund,0.66082557192005
attired,0.018971685747654732
waahtaah,1.4052660468675455
bambaataa,-0.6741754948122907
mentals,0.7121188663076001
adobe,-0.386493422360509
trick,-0.07946838706559944
trawling,0.42443679385581845
commonality,-0.6741754948122907
emotionality,0.7121188663076001
magnification,0.7121188663076001
schoedsack,-0.6741754948122907
buffet,-0.9618575672640723
tiredest,0.7121188663076001
rowley,-0.6741754948122907
claude,-0.5597651436345465
reprehensibly,1.1175839744157638
reorder,-1.0796406029204544
socket,1.5230490825239276
bolam,-1.0796406029204544
yrds,0.7121188663076001
nate,-2.2836134072463903
narrator,-0.037117780903388464
rangoon,-1.7727877834803998
excuse,1.5478291115224163
wanderng,-0.6741754948122907
compton,-0.8564970516062456
gerries,0.7121188663076001
mirthless,0.7121188663076001
hillside,-0.8973190461264995
ofus,-0.6741754948122907
rabid,0.65496045246765
surrogate,-0.386493422360509
pantangeli,-0.6741754948122907
nourishment,0.018971685747654732
bilingual,0.42443679385581845
vaporizing,0.42443679385581845
debutante,0.24211523706186355
box,0.24983728315577558
moody,-0.23234274253325182
eliminates,0.018971685747654732
mired,0.018971685747654732
outerbridge,-0.6741754948122907
normandy,0.8662695461348591
nativetex,-0.6741754948122907
flail,1.4052660468675455
cmt,1.1175839744157638
gunner,0.018971685747654732
battleship,-1.4626328551765617
hasreal,-0.6741754948122907
lengthened,1.1175839744157638
dialougue,1.1175839744157638
torenstra,0.7121188663076001
retail,-0.8973190461264995
jocko,0.7121188663076001
m,-0.15327421905755756
misinformation,1.5230490825239276
suchlike,1.1175839744157638
vega,-0.09102920946667403
abba,1.3539727524799954
duran,1.9648818348029682
monologuingacting,1.1175839744157638
norah,-0.49185393801833577
pyrotics,-0.6741754948122907
yah,0.7121188663076001
murrow,1.4052660468675455
navada,1.1175839744157638
hartwell,-1.367322675372236
wooten,-0.6741754948122907
comme,0.42443679385581845
befits,-1.5904662266864449
dickish,1.1175839744157638
talmadges,0.7121188663076001
boleslowski,-0.6741754948122907
doctoress,1.1175839744157638
fishbone,-0.6741754948122907
tombo,-0.6741754948122907
carves,1.1175839744157638
perc,-0.6741754948122907
seguin,-0.6741754948122907
gasbstich,-0.6741754948122907
slovo,1.4052660468675455
undoubted,-0.49185393801833577
yech,1.4052660468675455
priorly,-0.6741754948122907
tamer,-0.6741754948122907
donlan,-1.367322675372236
lulled,-0.26871038670412695
watershed,0.42443679385581845
rich,-0.2277450332846218
snowbeast,-0.6741754948122907
rejoiced,0.018971685747654732
leech,1.4052660468675455
glacier,-2.0604698559321815
baked,1.710647696418727
angst,-0.013818137075336523
torquay,-0.6741754948122907
reappeared,-0.6741754948122907
marketeers,-1.0796406029204544
lgbt,0.7121188663076001
splashy,0.7121188663076001
coulter,0.018971685747654732
intervention,0.018971685747654732
penitentiary,-0.6741754948122907
polick,0.7121188663076001
burrier,-0.6741754948122907
abdalla,-1.367322675372236
wishy,-0.6741754948122907
profesor,0.018971685747654732
negligent,0.018971685747654732
hermamdad,-0.6741754948122907
gummint,1.1175839744157638
ripper,0.018971685747654732
grieved,-0.6741754948122907
suez,-0.6741754948122907
thoough,-0.6741754948122907
leskin,-1.9269384633076587
hesitate,-0.5042764580168928
inventing,-0.08638882991017205
enraged,0.7121188663076001
favorize,-0.6741754948122907
concordance,-0.6741754948122907
conrack,-2.8142416583085605
moyer,0.7121188663076001
jpdutta,1.1175839744157638
attemtping,-0.6741754948122907
minghela,-0.6741754948122907
ventured,0.5297973095136452
harbor,-0.1351789940796042
patterson,-0.06107102192588165
bravura,-0.386493422360509
tent,0.8518808086827594
sociologically,-1.5904662266864449
pontiac,-0.6741754948122907
strive,0.8074290461119258
terminatrix,1.1175839744157638
implicit,-0.386493422360509
expolsion,-0.6741754948122907
untamed,0.3066537581994364
friedrich,-0.6741754948122907
aweigh,-2.121094477748615
eppu,-0.6741754948122907
dickson,-0.23234274253325182
donnacha,0.7121188663076001
dampening,0.7121188663076001
sadlers,0.7121188663076001
extraordinaries,-0.6741754948122907
scatchard,1.1175839744157638
disdained,0.7121188663076001
imaged,-0.6741754948122907
amg,1.1175839744157638
nocked,-0.6741754948122907
nandhitadas,-0.6741754948122907
beak,-0.26871038670412695
kinephone,-1.0796406029204544
agutter,-2.2836134072463903
crapping,1.4052660468675455
supossed,0.7121188663076001
wisely,0.15250307837217747
commitment,-0.49185393801833577
misogynistic,0.3756466296863863
dorsey,-0.386493422360509
tunisian,0.7121188663076001
persevering,1.1175839744157638
antal,-0.6741754948122907
mirakel,-0.6741754948122907
nationalistic,-0.386493422360509
mcinnerny,0.018971685747654732
entebbe,1.4052660468675455
inescapably,-1.0796406029204544
provoke,0.08351020688522581
procession,-0.386493422360509
yuichiro,1.4052660468675455
michalakis,-0.6741754948122907
dencik,-0.6741754948122907
clash,-0.9795571443634721
grinchy,0.7121188663076001
thither,1.1175839744157638
juxtaposes,-0.6741754948122907
basserman,-0.6741754948122907
drippy,0.7121188663076001
definetly,-1.7727877834803998
sayid,0.018971685747654732
protruding,-1.0796406029204544
doofus,0.018971685747654732
hus,-0.6741754948122907
